ProductUID	ProductName	ProductionDescription	Add
354	 Metal Print 10x10	10x10	X
629	 Metal Print 10x13	10x13	X
630	 Metal Print 10x15	10x15	X
356	 Metal Print 11x14	11x14	X
412	 Metal Print 11x17	11x17	X
357	 Metal Print 12x12	12x12	X
358	 Metal Print 12x18	12x18	X
370	 Metal Print 4x6	4x6	X
608	 Metal Print 5x10	5x10	X
410	 Metal Print 5x5	5x5	X
371	 Metal Print 5x7	5x7	X
372	 Metal Print 6x6	6x6	X
373	 Metal Print 8x10	8x10	X
374	 Metal Print 8x12	8x12	X
375	 Metal Print 8x8	8x8	X
902	Acrylic Print 11x14	11x14	X
903	Acrylic Print 12x12	12x12	X
904	Acrylic Print 12x18	12x18	X
928	Acrylic Print 5x7	5x7	X
900	Acrylic Print 8x10	8x10	X
901	Acrylic Print 8x12	8x12	X
929	Acrylic Print 8x8	8x8	X
787	Canvas Print 10x10	10x10	X
789	Canvas Print 11x14	11x14	X
790	Canvas Print 12x12	12x12	X
784	Canvas Print 12x18	12x18	X
783	Canvas Print 5x10	5x10	X
786	Canvas Print 5x7	5x7	X
803	Canvas Print 8x10	8x10	X
804	Canvas Print 8x12	8x12	X
785	Canvas Print 8x8	8x8	X
68	"Fine Art Canvas Gallery Wrap 10x10, 1.5"""	10x10	X
403	"Fine Art Canvas Gallery Wrap 10x12, 1.5"""	10x12	X
71	"Fine Art Canvas Gallery Wrap 11x14, 1.5"""	11x14	X
605	"Fine Art Canvas Gallery Wrap 11x16, 1.5"""	11x16	X
72	"Fine Art Canvas Gallery Wrap 12x12, 1.5"""	12x12	X
73	"Fine Art Canvas Gallery Wrap 12x18, 1.5"""	12x18	X
74	"Fine Art Canvas Gallery Wrap 14x14, 1.5"""	14x14	X
109	"Fine Art Canvas Gallery Wrap 5x5, 1.5"""	5x5	X
110	"Fine Art Canvas Gallery Wrap 5x7, 1.5"""	5x7	X
111	"Fine Art Canvas Gallery Wrap 6x6, 1.5"""	6x6	X
112	"Fine Art Canvas Gallery Wrap 8x10, 1.5"""	8x10	X
604	"Fine Art Canvas Gallery Wrap 8x12, 1.5"""	8x12	X
588	"Fine Art Canvas Gallery Wrap 8x14, 1.5"""	8x14	X
113	"Fine Art Canvas Gallery Wrap 8x8, 1.5"""	8x8	X
592	"Fine Art Canvas Gallery Wrap 9x12, 1.5"""	9x12	X
664	Framed Print 10x10	10x10 Frame	X
755	Framed Print 10x15	10x15 Frame	X
253	Framed Print 11x14	11x14 Frame	X
665	Framed Print 12x12	12x12 Frame	X
1012	Framed Print 12x16	12x16 Frame	X
254	Framed Print 12x18	12x18 Frame	X
668	Framed Print 5x10	5x10 Frame	X
669	Framed Print 5x7	5x7 Frame	X
670	Framed Print 8x10	8x10 Frame	X
671	Framed Print 8x12	8x12 Frame	X
672	Framed Print 8x8	8x8 Frame	X
1029	Metal Print 4x4	4x4	X
54	Mounted Display 10x10	10x10	X
832	Mounted Display 10x15	10x15	X
56	Mounted Display 11x14	11x14	X
57	Mounted Display 12x12	12x12	X
58	Mounted Display 12x18	12x18	X
818	Mounted Display 5x5	5x5	X
817	Mounted Display 5x7	5x7	X
833	Mounted Display 6x6	6x6	X
52	Mounted Display 8x10	8x10	X
53	Mounted Display 8x12	8x12	X
834	Mounted Display 8x8	8x8	X
679	Wood Print 10x10	10x10 (9.75x9.75)	X
680	Wood Print 10x15	10x15 (9.75x14.75)	X
683	Wood Print 11x14	11x14 (10.75x13.75)	X
684	Wood Print 12x12	12x12 (11.75x11.75)	X
685	Wood Print 12x18	12x18 (11.75x17.75)	X
673	Wood Print 5x5	5x5 (4.75x4.75)	X
674	Wood Print 5x7	5x7 (4.75x6.75)	X
675	Wood Print 6x6	6x6 (5.75x5.75)	X
677	Wood Print 8x10	8x10 (7.75x9.75)	X
678	Wood Print 8x12	8x12 (7.75x11.75)	X
676	Wood Print 8x8	8x8 (7.75x7.75)	X
